Owner,total_capacity,number_of_plants,number_of_countries,number_of_regions,avg_litpop_value_usd,largest_plant,Latitude,Longitude
Electrasteel Inc,0.0,1,1,1,,Electra iron plant,40.06301,-105.221982
Electrosteel Castings Ltd,0.0,1,1,1,142335900.08133274,Electrosteel Castings Srikalahasthi steel plant,13.717188,79.630588
Jiangsu Longyuan Steel Co Ltd,0.0,1,1,1,261090607.59518936,Jiangsu Longyuan Steel Co,34.538033,117.329589
Azerbaijan Metal Company LLC,0.0,1,1,1,,Azerbaijan Metal Company Shamkir HBI plant,40.8217502,46.0170067
Ahya Steel Folad Baft Co,0.0,1,1,1,,Ahya Steel Folad Baft Company DRI plant,29.289109,56.490707
GuangDong Xinxing Ductile Iron Pipes Co Ltd,0.0,1,1,1,126961940.125218,GuangDong Xinxing Ductile Iron Pipes Co Ltd,22.09914,111.665479
Stoylenskiy Gorno-Obogatitel'nyi Kombinat JSC,0.0,1,1,1,,NLMK Stoilensky iron plant,51.243964,37.783498
Berhard Development Corporation (Private) Ltd,0.0,1,1,1,,BER-PIG Iron and Steel Company Redcliff plant,-19.055102,29.782424
Mikhailovsky HBI LLC,0.0,1,1,1,,Metalloinvest Mikhailovsky HBI plant,52.360448,35.397314
Mesabi Mining LLC,0.0,1,1,1,,Mesabi Metallics Nashwuak HBI plant,47.383441,-93.219413
Mitsui-Kobe Steel JV,0.0,1,1,1,,Mitsui-Kobe Duqm DRI plant,19.529594,57.61573
Tekhnologicheskiye Investitsii LLC,0.0,1,1,1,,Donetsk Metallurgical Plant,47.982276,37.810634
Tata Metaliks Ltd,0.0,1,1,1,2985882028.961829,Tata Metaliks Kharagpur steel plant,22.385611,87.287179
Eurasian Resources Group SARL; China Baowu Steel Group Co Ltd,0.0,1,1,1,,ERG Baowu Rudny HBI plant,52.9775332,63.1825737
Iranian Ghadir Iron & Steel Co,0.0,1,1,1,,Ghadir Iron and Steel Plant Yazd,32.3912,53.7496
Changli Xingguo Precision Machinery Co Ltd,0.0,1,1,1,853581286.6142415,Changli Xingguo Precision Machinery Co Ltd,39.704921,118.897417
Companhia Siderurgica do Cuchi SA,0.0,1,1,1,,Companhia Siderurgica do Cuchi pig iron plant,-14.650166,16.925606
Antara Steel Mills Sdn Bhd,0.0,1,1,1,,Esteel Antara Labuan iron plant,5.253839,115.242717
Vale SA,0.0,1,1,1,,Vale Tecnored Marabá iron plant,-5.408654,-49.103539
Huangshi Xinxing Pipe Industry Co Ltd,0.0,1,1,1,4262753872.987659,"Huangshi Xinxing Pipe Industry Co., Ltd.",30.181393,114.944879
Hybrit Development AB,0.0,1,1,1,,HYBRIT Gallivare sponge iron plant,67.189096,20.720752
Lebedinskiy GOK JSC,0.0,1,1,1,,Lebedinsky GOK DRI Plant,51.261995,37.654622
Huarui (Handan) Casting & Pipe Co Ltd,0.0,1,1,1,1340340843.3454995,Huarui (Handan) Casting & Pipe Co Ltd,36.561049,114.102793
Esteel Enterprise Sabah Sdn Bhd,0.0,1,1,1,,Esteel Sabah steel plant,6.104211,116.202218
Briquetera del Orinoco CA,0.0,1,1,1,,CVG Briquetera del Orinoco DRI plant,8.274965,-62.819282
Mintal Group Co Ltd,0.0,1,1,1,38453234.3149022,Mintal Group DRI plant,41.7915,109.865367
Vedanta Iron and Steel Ltd,0.0,1,1,1,607137556.302787,Vedanta Sesa Goa Pig Iron Plant,15.526866,73.986671
Shanxi HUAQIANG Iron and Steel Co Ltd,0.0,1,1,1,402152281.1129497,Shanxi Huaqiang Iron and Steel Co Ltd,35.670848,111.378887
Shijiazhuang Hongsen Melting & Casting Co Ltd,0.0,1,1,1,945492196.1136818,Shijiazhuang Hongsen Melting & Casting Co Ltd,38.021527,114.916959
SMS Group GmbH,0.0,1,1,1,,SMS Group DRI Plant,26.787872,30.572474
Shougang Yili Iron & Steel Co Ltd,0.0,1,1,1,36347068.67769812,Shougang Yili Iron & Steel Co Ltd,43.528516,83.276706
Weining Hengchang Furnace Charge & Casting Co Ltd,0.0,1,1,1,21953226.651415624,Weining Hengchang Furnace Charge & Casting Co Ltd,26.783556,104.394517
Andrade Valladares Engenharia e Construcao Ltda,0.0,1,1,1,,Viena Açailândia iron works,-4.887877,-47.392157
Hebei Guanfeng Metallurgical Industry Co Ltd,0.0,1,1,1,2791499561.2492723,Hebei Guanfeng Metallurgical Industry Co Ltd,36.73422,114.111085
Hebei Jingdong Pipe Industry Co Ltd,0.0,1,1,1,177055102.2953652,Hebei Jingdong Pipe Industry Co Ltd,39.932656,118.836844
Hebei PROVINCE Longfengshan Casting Industry Co Ltd,0.0,1,1,1,2791499561.2492723,Hebei Longfengshan Casting Co Ltd,36.705105,114.105387
Fushun HANWANG Direct Reduced Iron Co Ltd,0.0,1,1,1,26636182.46122891,Fushun Hanking Direct Reduced Iron Co Ltd,41.670998,123.85143
Nu-Iron Unlimited,0.0,1,1,1,,Nu-Iron Unlimited Point Lisas DRI plant,10.399138,-61.486326
Corporacion Venezolana de Guayana,0.0,1,1,1,,CVG Briquetera del Caroní DRI plant,8.290142,-62.805419
Maegma Minerals Sdn Bhd,0.0,1,1,1,,Maegma Minerals Lumut HBI Plant,4.2405829,100.5949428
Matesi,0.0,1,1,1,,CVG Briquetera de Venezuela DRI plant,8.300159,-62.780136
Complejo Siderurgico de Guayana CA,0.0,1,1,1,,CVG Comsigua DRI plant,8.297662,-62.780149
Nucor Steel Louisiana LLC,0.0,1,1,1,,Nucor Steel Louisiana,30.076693,-90.859953
Wugang Zhongjia Iron & Steel Co Ltd,0.0,1,1,1,642394331.888709,Wugang Zhongjia Iron and Steel Co Ltd,33.29175,113.458011
CVG Ferrominera Orinoco CA,0.0,1,1,1,,CVG Ferrominera Orinoco DRI plant,8.33468,-62.728842
Persian Gulf Negin Steel,0.0,1,1,1,,Persian Gulf Negin Steel Khaf plant,34.475932,60.292146
Port Hedland Iron Pty Ltd,0.0,1,1,1,,POSCO Port Hedland Iron Project,-20.395832,118.537975
